bedrooms,bathrooms,sqft_living,sqft_lot,yr_built,zipcode,lat,long,price
3,1,1180,5650,1955,98178,47.5112,-122.257,221900
3,2.25,2570,7242,1951,98125,47.721,-122.319,538000
2,1,770,10000,1933,98028,47.7379,-122.233,180000
4,3,1960,5000,1965,98136,47.5208,-122.393,604000
3,2,1680,8080,1987,98074,47.6168,-122.045,510000
4,4.5,5420,101930,2001,98053,47.6561,-122.005,1230000
3,2.25,1715,6819,1995,98003,47.3097,-122.327,257500
3,1.5,1060,9711,1963,98198,47.4095,-122.315,291850
3,1,1780,7470,1960,98146,47.5123,-122.337,229500
3,2.5,1890,6560,2003,98038,47.3684,-122.031,323000
3,2.5,3560,9796,1965,98007,47.6007,-122.145,662500
2,1,1160,6000,1942,98115,47.69,-122.292,468000
3,1,1430,19901,1927,98028,47.7558,-122.229,310000
3,1.75,1370,9680,1977,98074,47.6127,-122.045,400000
5,2,1810,4850,1900,98107,47.67,-122.394,530000
4,3,2950,5000,1979,98126,47.5714,-122.375,650000
3,2,1890,14040,1994,98019,47.7277,-121.962,395000
4,1,1600,4300,1916,98103,47.6648,-122.343,485000
2,1,1200,9850,1921,98002,47.3089,-122.21,189000
3,1,1250,9774,1969,98003,47.3343,-122.306,230000
4,1.75,1620,4980,1947,98133,47.7025,-122.341,385000
3,2.75,3050,44867,1968,98040,47.5316,-122.233,2000000
5,2.5,2270,6300,1995,98092,47.3266,-122.169,285000
2,1.5,1070,9643,1985,98030,47.3533,-122.166,252700
3,2.25,2450,6500,1985,98030,47.3739,-122.172,329000
3,2,1710,4697,1941,98002,47.3048,-122.218,233000
3,1.75,2450,2691,1915,98119,47.6386,-122.36,937000
3,1,1400,1581,1909,98112,47.6221,-122.314,667000
3,1.75,1520,6380,1948,98115,47.695,-122.304,438000
4,2.5,2570,7173,2005,98052,47.7073,-122.11,719000
3,2.5,2320,3980,2003,98027,47.5391,-122.07,580500
2,1.5,1190,1265,2005,98133,47.7274,-122.357,280000
4,1.75,2330,5000,1929,98117,47.6823,-122.368,687500
3,1,1090,3000,1929,98117,47.6889,-122.375,535000
